protein_id,chain,class
6QRE,A,K+3(1)
6QRG,A,K+3(1)
6QR0,A,K+3(1)
6QR1,A,K+3(1)
6QQT,A,K+3(1)
6QR3,A,K+3(1)
6QQV,A,K+3(1)
6QR2,A,K+3(1)
6QQW,A,K+3(1)
6QQZ,A,K+3(1)
6HZX,A,K+3(1)
6RQN,A,K+3(1)
6RQQ,A,K+3(1)
6AC6,A,K+3(1)
6RXZ,CN,K+3(1)
6RXY,CN,K+3(1)
6RXX,CN,K+3(1)
6RXV,CN,K+3(1)
6RXT,CN,K+3(1)
6AFK,A,K+3(1)
6H36,A,K+3(1)
6EDA,A,K+3(1)
6EEA,A,K+3(1)
2H47,B,K+3(1)
2H3X,B,K+3(1)
1MG3,B,K+3(1)
2MAD,L,K+3(1)
1MG2,B,K+3(1)
2J57,K,K+3(1)
2MTA,L,K+3(1)
2J55,L,K+3(1)
2J56,L,K+3(1)
4FA1,C,K+3(1)
4K3I,C,K+3(1)
2IAA,B,K+3(1)
4L3G,C,K+3(1)
2GC4,B,K+3(1)
3L4O,C,K+3(1)
2GC7,B,K+3(1)
2BBK,L,K+3(1)
2IUP,D,K+3(1)
2AGX,D,K+3(1)
2HJ4,D,K+3(1)
2HJB,D,K+3(1)
2AGY,D,K+3(1)
2AGL,D,K+3(1)
2HXC,D,K+3(1)
2AGW,D,K+3(1)
2AH0,D,K+3(1)
2AH1,D,K+3(1)
2IUR,D,K+3(1)
2I0S,D,K+3(1)
2I0T,D,K+3(1)
2Q7Q,D,K+3(1)
2HKR,D,K+3(1)
2HKM,D,K+3(1)
2IUQ,D,K+3(1)
2OK4,D,K+3(1)
2OJY,D,K+3(1)
1MDA,M,K+3(1)
3IQK,A,K+3(1)
5FL5,A,K+3(1)
1CAK,A,K+3(1)
4MLT,A,K+3(1)
5EIJ,A,K+3(1)
4R59,A,K+3(1)
4MDG,A,K+3(1)
3MNU,A,K+3(1)
2NNO,A,K+3(1)
1CAO,A,K+3(1)
3V2J,A,K+3(1)
3KON,A,K+3(1)
4M2R,A,K+3(1)
2NWO,A,K+3(1)
5MSA,A,K+3(1)
1YVE,I,K+3(1)
5FLP,A,K+3(1)
5FLR,A,K+3(1)
4XZ5,A,K+3(1)
3ML5,A,K+3(1)
4QSB,A,K+3(1)
5TY1,A,K+3(1)
1CNJ,A,K+3(1)
3MHC,A,K+3(1)
5FLS,A,K+3(1)
5UMC,A,K+3(1)
5TT3,A,K+3(1)
5G01,A,K+3(1)
4YWP,A,K+3(1)
4MDL,A,K+3(1)
4FPT,A,K+3(1)
3S72,B,K+3(1)
3DAZ,A,K+3(1)
2VVB,X,K+3(1)
4Z1E,A,K+3(1)
3KKX,A,K+3(1)
4KP5,A,K+3(1)
4L5V,A,K+3(1)
3U3A,X,K+3(1)
3HKN,A,K+3(1)
5TFX,A,K+3(1)
2FNN,A,K+3(1)
5JDF,A,K+3(1)
1UGD,A,K+3(1)
3P3J,A,K+3(1)
5JES,B,K+3(1)
3GZ0,A,K+3(1)
4QK1,A,K+3(1)
5FLO,A,K+3(1)
5TH4,A,K+3(1)
5CJF,A,K+3(1)
1Z97,A,K+3(1)
5SZ5,A,K+3(1)
1FSQ,A,K+3(1)
3RYJ,B,K+3(1)
1ZE8,A,K+3(1)
4YGN,A,K+3(1)
5LMD,A,K+3(1)
5JGS,B,K+3(1)
3FR7,A,K+3(1)
4KP8,A,K+3(1)
4Z1K,A,K+3(1)
2POU,A,K+3(1)
6B00,A,K+3(1)
5U0E,A,K+3(1)
5G0B,A,K+3(1)
5LL9,A,K+3(1)
4M2U,A,K+3(1)
4R5A,A,K+3(1)
2FNK,A,K+3(1)
5FNM,A,K+3(1)
4IWZ,A,K+3(1)
4HT2,A,K+3(1)
3S74,B,K+3(1)
3V7X,A,K+3(1)
3DV7,A,K+3(1)
4QJM,A,K+3(1)
6BBS,A,K+3(1)
4MDM,A,K+3(1)
3N0N,A,K+3(1)
4Q8Z,A,K+3(1)
4FL7,A,K+3(1)
5FDC,A,K+3(1)
5VGY,A,K+3(1)
2WD3,A,K+3(1)
4E5Q,A,K+3(1)
4WL4,A,K+3(1)
5U0F,A,K+3(1)
4KUY,A,K+3(1)
3V2M,A,K+3(1)
1G0F,A,K+3(1)
5TYA,A,K+3(1)
4PYX,A,K+3(1)
6FE1,A,K+3(1)
3RYX,B,K+3(1)
1RAZ,A,K+3(1)
4E4A,A,K+3(1)
2FNM,A,K+3(1)
3R16,A,K+3(1)
5WLR,A,K+3(1)
6D1L,A,K+3(1)
3VBD,A,K+3(1)
5JEH,B,K+3(1)
4Q90,A,K+3(1)
2NNS,A,K+3(1)
3MYQ,A,K+3(1)
3M1Q,A,K+3(1)
5TUO,A,K+3(1)
2EU2,A,K+3(1)
4E3F,A,K+3(1)
2WEJ,A,K+3(1)
3K34,A,K+3(1)
4E3G,A,K+3(1)
2X7T,A,K+3(1)
2ILI,A,K+3(1)
4FIK,A,K+3(1)
3P55,A,K+3(1)
2NWZ,A,K+3(1)
3UYN,A,K+3(1)
5T71,A,K+3(1)
2HFX,A,K+3(1)
3ML2,A,K+3(1)
4K1Q,A,K+3(1)
5TY8,A,K+3(1)
5G0C,A,K+3(1)
1FSR,A,K+3(1)
6G98,A,K+3(1)
5DVX,A,K+3(1)
5AMD,A,K+3(1)
4QEF,A,K+3(1)
4HEW,A,K+3(1)
3OKU,A,K+3(1)
1Z93,A,K+3(1)
5BRW,A,K+3(1)
5WEX,A,K+3(1)
4Q06,A,K+3(1)
3P5A,A,K+3(1)
5JE7,B,K+3(1)
5EKM,A,K+3(1)
4Z1J,A,K+3(1)
3OYS,A,K+3(1)
4ITP,A,K+3(1)
3DVB,A,K+3(1)
2POW,A,K+3(1)
1URT,A,K+3(1)
4KNN,A,K+3(1)
3SAX,A,K+3(1)
4QSA,A,K+3(1)
3S8X,A,K+3(1)
6GOT,A,K+3(1)
3S73,B,K+3(1)
5YUJ,A,K+3(1)
2OSF,A,K+3(1)
4KAP,A,K+3(1)
1G0E,A,K+3(1)
2EZ7,A,K+3(1)
1IF9,A,K+3(1)
1IF7,A,K+3(1)
2CBC,A,K+3(1)
4LU3,A,K+3(1)
1THK,A,K+3(1)
3RZ0,B,K+3(1)
3T85,A,K+3(1)
3CZV,A,K+3(1)
3OKV,A,K+3(1)
3SBI,A,K+3(1)
3BL0,A,K+3(1)
2FOS,A,K+3(1)
1FQM,A,K+3(1)
1XEV,A,K+3(1)
2NXT,A,K+3(1)
3C75,L,K+3(1)
4V7H,BE,K+3(1)
5GMN,A,K+3(1)
2AX2,A,K+3(1)
5L70,A,K+3(1)
4CND,B,K+3(1)
4CNE,B,K+3(1)
4CNF,B,K+3(1)
4CNG,B,K+3(1)
6EMS,A,K+3(1)
5VM8,A,K+3(1)
5UGH,A,K+3(1)
6EMT,A,K+3(1)
6EMV,A,K+3(1)
5A19,A,K+3(1)
1CNG,A,K+3(1)
3MHL,A,K+3(1)
3M5E,A,K+3(1)
3M40,A,K+3(1)
3M3X,A,K+3(1)
3M67,A,K+3(1)
3M98,A,K+3(1)
3M2N,A,K+3(1)
3MHM,A,K+3(1)
3M96,A,K+3(1)
3PO6,A,K+3(1)
1HVA,A,K+3(1)
2W2J,A,K+3(1)
3BET,A,K+3(1)
3CAJ,A,K+3(1)
3IBU,A,K+3(1)
3IBN,A,K+3(1)
3IBL,A,K+3(1)
5DSQ,A,K+3(1)
5DSO,A,K+3(1)
1FSN,A,K+3(1)
2CBE,A,K+3(1)
3RZ5,A,K+3(1)
3RZ7,A,K+3(1)
3S76,A,K+3(1)
1ZSA,A,K+3(1)
1CNH,A,K+3(1)
4TWM,A,K+3(1)
4TWL,A,K+3(1)
5A1G,A,K+3(1)
5DSR,A,K+3(1)
1J85,A,K+3(1)
6EMU,A,K+3(1)
5Y2R,A,K+3(1)
5Y2S,A,K+3(1)
5MSB,A,K+3(1)
5NXG,A,K+3(1)
5NXI,A,K+3(1)
5NXO,A,K+3(1)
5NXP,A,K+3(1)
5NXV,A,K+3(1)
5NXW,A,K+3(1)
5NY1,A,K+3(1)
5NY3,A,K+3(1)
5NY6,A,K+3(1)
5NYA,A,K+3(1)
5YUD,A,K+3(1)
5WYR,A,K+3(1)
5WYQ,A,K+3(1)
5M78,A,K+3(1)
5M4S,A,K+3(1)
5O95,A,K+3(1)
5O96,A,K+3(1)
5OQL,e,K+3(1)
5TV3,A,K+3(1)
5T75,A,K+3(1)
5TT8,A,K+3(1)
5L0Z,A,K+3(1)
5KZK,A,K+3(1)
5KU6,A,K+3(1)
5LLE,A,K+3(1)
5LLG,A,K+3(1)
5LLO,A,K+3(1)
5LLN,A,K+3(1)
5LLP,A,K+3(1)
5GRA,A,K+3(1)
5TWJ,A,K+3(1)
5JNC,A,K+3(1)
5TWK,A,K+3(1)
5THJ,A,K+3(1)
5JN8,A,K+3(1)
5JNA,A,K+3(1)
5JN3,A,K+3(1)
5WYK,E1,K+3(1)
5IPZ,A,K+3(1)
5L6K,A,K+3(1)
5SZ7,A,K+3(1)
5SZ0,A,K+3(1)
5SZ1,A,K+3(1)
5SZ2,A,K+3(1)
5SZ3,A,K+3(1)
5SZ4,A,K+3(1)
5H9U,A,K+3(1)
5H5F,A,K+3(1)
5H5E,A,K+3(1)
5JIR,A,K+3(1)
5GM8,A,K+3(1)
5GMC,A,K+3(1)
5GMB,A,K+3(1)
5T8S,A,K+3(1)
5T8T,A,K+3(1)
5DRS,A,K+3(1)
5CJL,A,K+3(1)
5DOG,A,K+3(1)
5DOH,A,K+3(1)
5E5R,A,K+3(1)
5JPQ,e,K+3(1)
5CO4,A,K+3(1)
5G03,A,K+3(1)
5HWY,A,K+3(1)
5APG,A,K+3(1)
5AP8,A,K+3(1)
4YQT,A,K+3(1)
4YQS,A,K+3(1)
4YQR,A,K+3(1)
4YPX,A,K+3(1)
5A1I,A,K+3(1)
4X3L,A,K+3(1)
5FAI,A,K+3(1)
5C77,A,K+3(1)
5C74,A,K+3(1)
5A7Y,A,K+3(1)
5A7Z,A,K+3(1)
5A7T,A,K+3(1)
4YVK,A,K+3(1)
4YVJ,A,K+3(1)
4YVI,A,K+3(1)
4YVH,A,K+3(1)
4YVG,A,K+3(1)
4XBO,A,K+3(1)
5E4R,A,K+3(1)
4X3M,A,K+3(1)
4YQD,A,K+3(1)
4WS9,A,K+3(1)
4RG1,A,K+3(1)
3S97,A,K+3(1)
3KLD,B,K+3(1)
4ETQ,C,K+3(1)
3V5S,A,K+3(1)
4CNG,A,K+3(1)
4CNF,A,K+3(1)
4CNE,A,K+3(1)
4CND,A,K+3(1)
4J3C,A,K+3(1)
3CWO,X,K+3(1)
4JAL,A,K+3(1)
4MCC,A,K+3(1)
4MCB,A,K+3(1)
4L2Z,A,K+3(1)
4K0B,A,K+3(1)
3AXZ,A,K+3(1)
4IG6,A,K+3(1)
4HPV,A,K+3(1)
4H3Y,A,K+3(1)
3KZM,A,K+3(1)
4JWG,A,K+3(1)
3SO4,A,K+3(1)
4L4Q,A,K+3(1)
4PZK,B,K+3(1)
4PZK,A,K+3(1)
4NDN,A,K+3(1)
4NDN,B,K+3(1)
4NDN,C,K+3(1)
4NDN,D,K+3(1)
4KTV,D,K+3(1)
4KTV,C,K+3(1)
4KTV,B,K+3(1)
4KTV,A,K+3(1)
4KTT,D,K+3(1)
4KTT,C,K+3(1)
4KTT,B,K+3(1)
4KTT,A,K+3(1)
1UAK,A,K+3(1)
1BY7,A,K+3(1)
1F48,A,K+3(1)
1FUG,A,K+3(1)
1GZ0,A,K+3(1)
1JS1,X,K+3(1)
1K3R,A,K+3(1)
1MXA,A,K+3(1)
1MXB,A,K+3(1)
1MXC,A,K+3(1)
1MXI,A,K+3(1)
1NS5,A,K+3(1)
1NXZ,A,K+3(1)
1O6D,A,K+3(1)
1O90,A,K+3(1)
1O92,A,K+3(1)
1O93,A,K+3(1)
1O9T,A,K+3(1)
1P7L,A,K+3(1)
1P9P,A,K+3(1)
1QM4,A,K+3(1)
1RG9,A,K+3(1)
1TO0,A,K+3(1)
1UAJ,A,K+3(1)
1UAL,A,K+3(1)
1UAM,A,K+3(1)
1V2X,A,K+3(1)
1V6Z,A,K+3(1)
1VH0,A,K+3(1)
1VHK,A,K+3(1)
1VHY,A,K+3(1)
1X7O,A,K+3(1)
1X7P,A,K+3(1)
1XRA,A,K+3(1)
1XRB,A,K+3(1)
1XRC,A,K+3(1)
1Y7W,A,K+3(1)
1YH1,A,K+3(1)
1YRL,A,K+3(1)
1ZJR,A,K+3(1)
1ZNC,A,K+3(1)
2CX8,A,K+3(1)
2EGV,A,K+3(1)
2EGW,A,K+3(1)
2FG6,C,K+3(1)
2G7M,C,K+3(1)
2HA8,A,K+3(1)
2HFY,A,K+3(1)
2I6D,A,K+3(1)
2O3A,A,K+3(1)
2OBV,A,K+3(1)
2P02,A,K+3(1)
2QMM,A,K+3(1)
2QWV,A,K+3(1)
2V3J,A,K+3(1)
2V3K,A,K+3(1)
2YFK,A,K+3(1)
2YY8,A,K+3(1)
2Z0Y,A,K+3(1)
2ZNC,A,K+3(1)
3AI9,X,K+3(1)
3AIA,A,K+3(1)
3B1B,A,K+3(1)
3BBD,A,K+3(1)
3BBE,A,K+3(1)
3BBH,A,K+3(1)
3DCM,X,K+3(1)
3E5Y,A,K+3(1)
3ED7,A,K+3(1)
3F7B,A,K+3(1)
3FW3,A,K+3(1)
3GYQ,A,K+3(1)
3IC6,A,K+3(1)
3IEF,A,K+3(1)
3ILK,A,K+3(1)
3IML,A,K+3(1)
3JXF,A,K+3(1)
3JXG,A,K+3(1)
3JXH,C,K+3(1)
3JYW,E,K+3(1)
3KNU,A,K+3(1)
3KTY,A,K+3(1)
3KW2,A,K+3(1)
3KY7,A,K+3(1)
3KZC,A,K+3(1)
3KZK,A,K+3(1)
3KZN,A,K+3(1)
3KZO,A,K+3(1)
3L02,A,K+3(1)
3L04,A,K+3(1)
3L05,A,K+3(1)
3L06,A,K+3(1)
3L8U,A,K+3(1)
3M4J,A,K+3(1)
3M4N,A,K+3(1)
3M5C,A,K+3(1)
3M5D,A,K+3(1)
3N4J,A,K+3(1)
3N4K,A,K+3(1)
3NK6,A,K+3(1)
3NK7,A,K+3(1)
3O7B,A,K+3(1)
3OII,A,K+3(1)
3OIJ,A,K+3(1)
3OIN,A,K+3(1)
3ONP,A,K+3(1)
3Q98,A,K+3(1)
3QUV,A,K+3(1)
3RV2,A,K+3(1)
3S82,A,K+3(1)
3SIG,A,K+3(1)
3SIJ,A,K+3(1)
3TDE,A,K+3(1)
3ULK,A,K+3(1)
3V5U,A,K+3(1)
3ZNC,A,K+3(1)
4E8B,A,K+3(1)
4FAK,A,K+3(1)
4FMW,A,K+3(1)
4GGE,A,K+3(1)
4H3Z,A,K+3(1)
4H6V,A,K+3(1)
4JAK,A,K+3(1)
4JWF,A,K+3(1)
4JWH,A,K+3(1)
4JWJ,A,K+3(1)
4K1C,A,K+3(1)
4KDZ,A,K+3(1)
4KGN,A,K+3(1)
4KJR,A,K+3(1)
4KPP,A,K+3(1)
4L69,A,K+3(1)
4L7I,A,K+3(1)
4LE5,A,K+3(1)
4MCD,A,K+3(1)
4O6D,A,K+3(1)
4O6D,B,K+3(1)
4ODJ,A,K+3(1)
7QI6,5,K-3(1)
6ND4,N,K-3(1)
6QX9,BP,K-3(1)
4QRV,A,K-3(1)
2EFV,A,K-3(1)
5Z57,6,K-3(1)
5Z56,6,K-3(1)
5O9Z,y,K-3(1)
5NRL,S,K-3(1)
5ZWM,5,K-3(1)
5ZWO,5,K-3(1)
6GAW,Bw,K-3(1)
6GAW,Ba,K-3(1)
2OFZ,A,K-3(1)
6GB2,Bw,K-3(1)
5ZD5,D,K-3(1)
5WTU,A,K-3(1)
5OOM,s,K-3(1)
5LQW,Y,K-3(1)
5IFE,D,K-3(1)
5GM6,J,K-3(1)
5SYB,A,K-3(1)
3J7Y,s,K-3(1)
3J7Y,5,K-3(1)
4V1A,a,K-3(1)
4V1A,w,K-3(1)
1CMX,A,K-3(1)
4LRV,A,K-3(1)
3O0P,A,K-3(1)
3MT5,A,K-3(1)
3MLG,A,K-3(1)
2RH3,A,K-3(1)
2K0A,A,K-3(1)
6PTX,A,K4(1)
6PU2,A,K4(1)
6PTQ,A,K4(1)
1YVE,I,K4(1)
3FR7,A,K4(1)
6BAF,A,K4(1)
6BAY,A,K4(1)
6BAP,A,K4(1)
6BAO,A,K4(1)
6BAK,A,K4(1)
5VIV,A,K4(1)
5VIQ,A,K4(1)
3BJX,A,K4(1)
5MG0,A,K4(1)
4XTQ,A,K4(1)
5C5K,A,K4(1)
4RQ9,A,K4(1)
6FHT,A,K4(1)
5NWN,A,K4(1)
5NM3,A,K4(1)
5NFX,A,K4(1)
5VIK,A,K4(1)
5LBR,A,K4(1)
5L8M,A,K4(1)
5K5B,A,K4(1)
5I5L,A,K4(1)
5HSQ,A,K4(1)
4ZRR,A,K4(1)
4Z1W,A,K4(1)
5E4R,A,K4(1)
4WKK,A,K4(1)
4R6L,A,K4(1)
4Y3I,A,K4(1)
4Y5F,A,K4(1)
4Q0J,A,K4(1)
4O8G,A,K4(1)
3NOU,C,K4(1)
3NOT,C,K4(1)
3NOP,C,K4(1)
3S7P,A,K4(1)
3S7N,A,K4(1)
3S7O,A,K4(1)
4CHJ,A,K4(1)
3ZQ5,A,K4(1)
4N2X,A,K4(1)
3WJ8,A,K4(1)
4Q0H,A,K4(1)
4CQH,A,K4(1)
4O01,D,K4(1)
4O01,A,K4(1)
4O0P,B,K4(1)
4O0P,A,K4(1)
4O01,B,K4(1)
4O01,C,K4(1)
4Q0I,A,K4(1)
1ZTU,A,K4(1)
2O9B,A,K4(1)
2O9C,A,K4(1)
2OOL,A,K4(1)
2VEA,A,K4(1)
3C2W,A,K4(1)
3G6O,A,K4(1)
3IBR,A,K4(1)
3NHQ,A,K4(1)
3S7Q,A,K4(1)
3ULK,A,K4(1)
4E04,A,K4(1)
4GW9,A,K4(1)
4IJG,A,K4(1)
1YRL,A,K4(1)
4WLP,A,K-5(2)
4WLQ,A,K-5(2)
4WLR,A,K-5(2)
4UEL,A,K-5(2)
4UEM,A,K-5(2)
4UF5,A,K-5(2)
4UF6,A,K-5(2)
4IG7,A,K-5(2)
3IHR,A,K-5(2)
2LEN,A,K-5(2)
1UCH,A,K-5(2)
4JKJ,B,K-5(2)
4JKJ,A,K-5(2)
1XD3,A,K-5(2)
4I6N,A,K-5(2)
4DM9,A,K-5(2)
3RIS,A,K-5(2)
3RII,A,K-5(2)
3KW5,A,K-5(2)
3KVF,A,K-5(2)
3IRT,A,K-5(2)
3IFW,A,K-5(2)
3A7S,A,K-5(2)
2WE6,A,K-5(2)
2WDT,A,K-5(2)
2ETL,A,K-5(2)
6YMB,A,S+3(1)
6UFD,A,S+3(1)
6UFB,A,S+3(1)
6UFC,A,S+3(1)
6KLZ,A,S+3(1)
6KM0,A,S+3(1)
6KM4,A,S+3(1)
6KM6,A,S+3(1)
6WQ4,A,S+3(1)
6WQ8,A,S+3(1)
6WQ9,A,S+3(1)
6T7U,A,S+3(1)
6T9Z,A,S+3(1)
6RMX,A,S+3(1)
6OTK,A,S+3(1)
6OTO,A,S+3(1)
6OTQ,A,S+3(1)
6OUB,A,S+3(1)
6OTP,A,S+3(1)
6OUH,A,S+3(1)
6OUD,A,S+3(1)
6OUF,A,S+3(1)
6OUK,A,S+3(1)
6OUI,A,S+3(1)
6OUJ,A,S+3(1)
6OUM,A,S+3(1)
6RG3,A,S+3(1)
6RMY,A,S+3(1)
6RHK,A,S+3(1)
6RZX,A,S+3(1)
6S03,A,S+3(1)
6SDS,A,S+3(1)
6SDT,A,S+3(1)
6R6J,A,S+3(1)
6R71,A,S+3(1)
6RM1,A,S+3(1)
6QUT,A,S+3(1)
6VKG,A,S+3(1)
6UGP,A,S+3(1)
6UGQ,A,S+3(1)
6UGR,A,S+3(1)
6UGZ,A,S+3(1)
6UGO,A,S+3(1)
6UH0,A,S+3(1)
6PEA,A,S+3(1)
6PDV,A,S+3(1)
6R6F,A,S+3(1)
6QN0,A,S+3(1)
6QN2,A,S+3(1)
6QN6,A,S+3(1)
6U4Q,A,S+3(1)
6U4T,A,S+3(1)
6NM0,A,S+3(1)
6NLV,A,S+3(1)
6TL2,A,S+3(1)
6KI1,A,S+3(1)
6I0L,A,S+3(1)
6I1U,A,S+3(1)
6I2F,A,S+3(1)
6MPB,A,S+3(1)
6MP6,A,S+3(1)
6HXD,A,S+3(1)
6SCF,A,S+3(1)
6KKT,A,S+3(1)
6KKU,A,S+3(1)
6TYS,A,S+3(1)
6QD7,A,S+3(1)
6QD8,A,S+3(1)
6NFF,A,S+3(1)
6NJ3,A,S+3(1)
6NJ6,A,S+3(1)
6QL2,A,S+3(1)
6PSO,A,S+3(1)
6PRM,A,S+3(1)
6QL1,A,S+3(1)
6I7S,A,S+3(1)
6DC5,A,S+3(1)
6HD2,A,S+3(1)
6RVY,A,S+3(1)
6RVX,A,S+3(1)
6NPL,A,S+3(1)
6EAJ,F,S+3(1)
6EAM,F,S+3(1)
6EAK,F,S+3(1)
6EAI,A,S+3(1)
6EAH,A,S+3(1)
6EAG,F,S+3(1)
6EAF,A,S+3(1)
6EAD,F,S+3(1)
6EAN,F,S+3(1)
6EAL,F,S+3(1)
6EAE,F,S+3(1)
6NPH,A,S+3(1)
6NPK,A,S+3(1)
6DC3,F,S+3(1)
6HHM,A,S+3(1)
6J66,A,S+3(1)
6GXB,A,S+3(1)
6GXE,A,S+3(1)
6GDC,A,S+3(1)
6DZZ,A,S+3(1)
6DZV,A,S+3(1)
6F2G,A,S+3(1)
6DZW,A,S+3(1)
6DZY,A,S+3(1)
6F2W,A,S+3(1)
6QFW,A,S+3(1)
6QFU,A,S+3(1)
6QFV,A,S+3(1)
6R7R,A,S+3(1)
6O0H,A,S+3(1)
6QFX,A,S+3(1)
6MBY,A,S+3(1)
6G6T,A,S+3(1)
6G5U,A,S+3(1)
6G5L,A,S+3(1)
6G7A,A,S+3(1)
6MBV,A,S+3(1)
6QEB,A,S+3(1)
6FJJ,A,S+3(1)
6FJI,A,S+3(1)
6GCY,A,S+3(1)
6H6S,A,S+3(1)
6HWZ,A,S+3(1)
6HX5,A,S+3(1)
6H33,A,S+3(1)
6H2Z,A,S+3(1)
6H34,A,S+3(1)
6H37,A,S+3(1)
6H38,A,S+3(1)
6G3Q,A,S+3(1)
6G3V,A,S+3(1)
6EEO,A,S+3(1)
6ECZ,A,S+3(1)
6EEH,A,S+3(1)
6EBE,A,S+3(1)
5THI,A,S+3(1)
6ACJ,A,S+3(1)
4YGL,A,S+3(1)
1BNN,A,S+3(1)
1TTM,A,S+3(1)
1AZM,A,S+3(1)
5NEA,A,S+3(1)
1BV3,A,S+3(1)
6B59,A,S+3(1)
5E2M,A,S+3(1)
4QSJ,A,S+3(1)
1RZB,A,S+3(1)
5OHH,A,S+3(1)
5N25,A,S+3(1)
12CA,A,S+3(1)
4QIZ,A,S+3(1)
6MLK,A,S+3(1)
6EVR,A,S+3(1)
4CNV,A,S+3(1)
4BCW,A,S+3(1)
3S75,B,S+3(1)
3DC3,A,S+3(1)
1TH9,A,S+3(1)
4GL1,X,S+3(1)
6FE2,A,S+3(1)
4Z0Q,A,S+3(1)
4QJ0,A,S+3(1)
4QK2,A,S+3(1)
4BF1,A,S+3(1)
3D92,A,S+3(1)
2F14,A,S+3(1)
2HFW,A,S+3(1)
5OGJ,A,S+3(1)
5NEE,A,S+3(1)
5LJQ,A,S+3(1)
4N0X,B,S+3(1)
3MNA,A,S+3(1)
4KNJ,A,S+3(1)
1CCS,A,S+3(1)
5BU6,A,S+3(1)
4Q7P,A,S+3(1)
1BN1,A,S+3(1)
4K0Z,A,S+3(1)
5FNL,A,S+3(1)
4YXI,A,S+3(1)
2HOC,A,S+3(1)
1CNI,A,S+3(1)
1QMG,A,S+3(1)
3WBH,A,S+3(1)
5EHE,A,S+3(1)
1J9W,A,S+3(1)
3MZC,A,S+3(1)
4K0S,A,S+3(1)
5CLU,A,S+3(1)
4K0T,A,S+3(1)
3W6H,A,S+3(1)
5FNH,A,S+3(1)
1IF4,A,S+3(1)
1I9N,A,S+3(1)
1IF6,A,S+3(1)
1G46,A,S+3(1)
6EKI,A,S+3(1)
3IGP,A,S+3(1)
5OGP,A,S+3(1)
4XIX,A,S+3(1)
4Q09,A,S+3(1)
4E3H,A,S+3(1)
4M2W,A,S+3(1)
4Q08,A,S+3(1)
4Q07,A,S+3(1)
3R17,B,S+3(1)
4CA2,A,S+3(1)
3IEO,A,S+3(1)
3NJ9,A,S+3(1)
2CBD,A,S+3(1)
3F4X,A,S+3(1)
2WEH,A,S+3(1)
2NNV,A,S+3(1)
2FW4,A,S+3(1)
3DC9,A,S+3(1)
1G3Z,A,S+3(1)
1ZSC,A,S+3(1)
1BN3,A,S+3(1)
2CBA,A,S+3(1)
1RJ5,A,S+3(1)
2EU3,A,S+3(1)
1BNQ,A,S+3(1)
3MNK,A,S+3(1)
5JEP,B,S+3(1)
4QK3,A,S+3(1)
5EKH,A,S+3(1)
4XE1,A,S+3(1)
5EH5,A,S+3(1)
4RN4,A,S+3(1)
4PQ7,A,S+3(1)
3HLJ,A,S+3(1)
3OIK,A,S+3(1)
3MNJ,A,S+3(1)
2X7S,A,S+3(1)
4MTY,A,S+3(1)
1HCB,A,S+3(1)
3MNI,A,S+3(1)
5FDI,A,S+3(1)
2NNG,A,S+3(1)
6B5A,A,S+3(1)
5KGN,A,S+3(1)
1CVE,A,S+3(1)
3W6I,A,S+3(1)
2FOQ,A,S+3(1)
5BU6,B,S+3(1)
1BN4,A,S+3(1)
4Q49,A,S+3(1)
1YO0,A,S+3(1)
4ZWZ,A,S+3(1)
1HEA,A,S+3(1)
3RYV,B,S+3(1)
